day,start,end,event,round,groups,areas
Friday,0900,1015,777,1,3,3
Friday,0945,1045,333mbf,1,1,5
Friday,1015,1115,666,1,3,3
Friday,1115,1225,minx,1,3,3
Friday,1225,1255,333ft,1,2,2
Friday,1255,1305,333ft,2,1,1
Friday,1320,1420,333fm,1,1,6
Friday,1430,1530,skewb,1,4,3
Friday,1530,1735,555,1,5,3
Friday,1610,1730,555bf,1,1,4
Friday,1735,1815,clock,1,2,3
Friday,1815,1905,sq1,1,3,3
Friday,1915,2015,333fm,1,1,6
Saturday,0800,0900,333fm,1,1,6
Saturday,0915,1115,444,1,6,3
Saturday,1000,1100,444bf,1,1,4
Saturday,1115,1345,333,1,9,3
Saturday,1415,1545,333oh,1,5,3
Saturday,1515,1615,333mbf,2,1,2
Saturday,1545,1715,222,1,6,3
Saturday,1715,1830,pyram,1,4,3
Saturday,1830,1945,333bf,1,4,3
Saturday,1945,2000,sq1,2,1,1
Saturday,2000,2015,clock,2,1,1
Saturday,2015,2030,minx,2,1,1
Sunday,0815,0850,555,2,1,3
Sunday,0850,0920,skewb,2,2,3
Sunday,0920,0950,pyram,2,2,3
Sunday,0950,1015,777,2,1,1
Sunday,1015,1035,666,2,1,1
Sunday,1035,1055,555,2,1,1
Sunday,1055,1105,skewb,2,1,1
Sunday,1105,1115,pyram,2,1,1
Sunday,1115,1125,333bf,2,1,1
Sunday,1125,1220,333,2,3,3
Sunday,1220,1305,444,2,2,3
Sunday,1335,1410,333oh,2,2,3
Sunday,1410,1435,222,2,2,3
Sunday,1435,1505,333,3,2,2
Sunday,1505,1525,444,3,1,1
Sunday,1525,1540,333oh,3,1,1
Sunday,1540,1555,222,3,1,1
