index,date,competitionId,roundTypeId,attempt,value
0,2010-06-12,CologneOpen2010,1,1,20.22
1,2010-06-12,CologneOpen2010,1,2,22.77
2,2010-06-12,CologneOpen2010,1,3,12.780000000000001
3,2010-06-12,CologneOpen2010,1,4,14.47
4,2010-06-12,CologneOpen2010,1,5,20.8
5,2010-06-12,CologneOpen2010,2,1,20.650000000000002
6,2010-06-12,CologneOpen2010,2,2,15.91
7,2010-06-12,CologneOpen2010,2,3,17.68
8,2010-06-12,CologneOpen2010,2,4,18.59
9,2010-06-12,CologneOpen2010,2,5,17.66
10,2010-08-14,EastGermanOpen2010,1,1,17.43
11,2010-08-14,EastGermanOpen2010,1,2,17.38
12,2010-08-14,EastGermanOpen2010,1,3,15.38
13,2010-08-14,EastGermanOpen2010,1,4,13.31
14,2010-08-14,EastGermanOpen2010,1,5,15.11
15,2010-08-14,EastGermanOpen2010,2,1,18.400000000000002
16,2010-08-14,EastGermanOpen2010,2,2,18.06
17,2010-08-14,EastGermanOpen2010,2,3,17.16
18,2010-08-14,EastGermanOpen2010,2,4,14.71
19,2010-08-14,EastGermanOpen2010,2,5,14.38
20,2010-09-11,Germany2010,1,1,15.93
21,2010-09-11,Germany2010,1,2,17.8
22,2010-09-11,Germany2010,1,3,16.27
23,2010-09-11,Germany2010,1,4,15.0
24,2010-09-11,Germany2010,1,5,14.84
25,2010-09-11,Germany2010,2,1,13.780000000000001
26,2010-09-11,Germany2010,2,2,12.63
27,2010-09-11,Germany2010,2,3,14.33
28,2010-09-11,Germany2010,2,4,14.55
29,2010-09-11,Germany2010,2,5,14.22
30,2010-10-09,MunichOpen2010,1,1,14.84
31,2010-10-09,MunichOpen2010,1,2,11.02
32,2010-10-09,MunichOpen2010,1,3,13.11
33,2010-10-09,MunichOpen2010,1,4,16.27
34,2010-10-09,MunichOpen2010,1,5,11.33
35,2010-10-09,MunichOpen2010,2,1,12.56
36,2010-10-09,MunichOpen2010,2,2,13.05
37,2010-10-09,MunichOpen2010,2,3,15.18
38,2010-10-09,MunichOpen2010,2,4,13.9
39,2010-10-09,MunichOpen2010,2,5,14.21
40,2010-10-09,MunichOpen2010,f,1,12.25
41,2010-10-09,MunichOpen2010,f,2,15.030000000000001
42,2010-10-09,MunichOpen2010,f,3,12.5
43,2010-10-09,MunichOpen2010,f,4,12.52
44,2010-10-09,MunichOpen2010,f,5,14.21
45,2011-01-14,AachenOpen2011,1,1,11.33
46,2011-01-14,AachenOpen2011,1,2,14.83
47,2011-01-14,AachenOpen2011,1,3,11.15
48,2011-01-14,AachenOpen2011,1,4,14.83
49,2011-01-14,AachenOpen2011,1,5,12.18
50,2011-01-14,AachenOpen2011,2,1,11.96
51,2011-01-14,AachenOpen2011,2,2,10.97
52,2011-01-14,AachenOpen2011,2,3,10.88
53,2011-01-14,AachenOpen2011,2,4,10.0
54,2011-01-14,AachenOpen2011,2,5,10.63
55,2011-01-14,AachenOpen2011,3,1,12.65
56,2011-01-14,AachenOpen2011,3,2,11.69
57,2011-01-14,AachenOpen2011,3,3,12.97
58,2011-01-14,AachenOpen2011,3,4,16.02
59,2011-01-14,AachenOpen2011,3,5,11.56
60,2011-01-14,AachenOpen2011,f,1,10.72
61,2011-01-14,AachenOpen2011,f,2,11.96
62,2011-01-14,AachenOpen2011,f,3,12.52
63,2011-01-14,AachenOpen2011,f,4,9.97
64,2011-01-14,AachenOpen2011,f,5,12.61
65,2011-04-09,GermanOpen2011,1,1,8.93
66,2011-04-09,GermanOpen2011,1,2,9.97
67,2011-04-09,GermanOpen2011,1,3,9.4
68,2011-04-09,GermanOpen2011,1,4,13.030000000000001
69,2011-04-09,GermanOpen2011,1,5,12.84
70,2011-04-09,GermanOpen2011,2,1,14.86
71,2011-04-09,GermanOpen2011,2,2,14.86
72,2011-04-09,GermanOpen2011,2,3,9.38
73,2011-04-09,GermanOpen2011,2,4,10.3
74,2011-04-09,GermanOpen2011,2,5,11.93
75,2011-04-09,GermanOpen2011,f,1,11.34
76,2011-04-09,GermanOpen2011,f,2,12.09
77,2011-04-09,GermanOpen2011,f,3,12.61
78,2011-04-09,GermanOpen2011,f,4,12.55
79,2011-04-09,GermanOpen2011,f,5,13.05
80,2011-04-30,HamburgOpen2011,1,1,11.97
81,2011-04-30,HamburgOpen2011,1,2,8.43
82,2011-04-30,HamburgOpen2011,1,3,10.0
83,2011-04-30,HamburgOpen2011,1,4,19.93
84,2011-04-30,HamburgOpen2011,1,5,8.86
85,2011-04-30,HamburgOpen2011,2,1,9.31
86,2011-04-30,HamburgOpen2011,2,2,11.18
87,2011-04-30,HamburgOpen2011,2,3,11.22
88,2011-04-30,HamburgOpen2011,2,4,8.31
89,2011-04-30,HamburgOpen2011,2,5,15.41
90,2011-04-30,HamburgOpen2011,f,1,10.19
91,2011-04-30,HamburgOpen2011,f,2,9.43
92,2011-04-30,HamburgOpen2011,f,3,10.53
93,2011-04-30,HamburgOpen2011,f,4,13.34
94,2011-04-30,HamburgOpen2011,f,5,11.21
95,2011-05-28,GHSIngenhovenparkOpen2011,1,1,10.59
96,2011-05-28,GHSIngenhovenparkOpen2011,1,2,11.81
97,2011-05-28,GHSIngenhovenparkOpen2011,1,3,10.36
98,2011-05-28,GHSIngenhovenparkOpen2011,1,4,9.58
99,2011-05-28,GHSIngenhovenparkOpen2011,1,5,11.86
100,2011-05-28,GHSIngenhovenparkOpen2011,f,1,8.31
101,2011-05-28,GHSIngenhovenparkOpen2011,f,2,12.94
102,2011-05-28,GHSIngenhovenparkOpen2011,f,3,11.33
103,2011-05-28,GHSIngenhovenparkOpen2011,f,4,12.31
104,2011-05-28,GHSIngenhovenparkOpen2011,f,5,12.94
105,2011-06-10,AlaniaOpen2011,1,1,9.38
106,2011-06-10,AlaniaOpen2011,1,2,12.94
107,2011-06-10,AlaniaOpen2011,1,3,13.91
108,2011-06-10,AlaniaOpen2011,1,4,14.47
109,2011-06-10,AlaniaOpen2011,1,5,11.09
110,2011-06-10,AlaniaOpen2011,2,1,13.46
111,2011-06-10,AlaniaOpen2011,2,2,9.86
112,2011-06-10,AlaniaOpen2011,2,3,10.84
113,2011-06-10,AlaniaOpen2011,2,4,10.4
114,2011-06-10,AlaniaOpen2011,2,5,11.31
115,2011-06-10,AlaniaOpen2011,f,1,11.02
116,2011-06-10,AlaniaOpen2011,f,2,11.18
117,2011-06-10,AlaniaOpen2011,f,3,13.18
118,2011-06-10,AlaniaOpen2011,f,4,10.31
119,2011-06-10,AlaniaOpen2011,f,5,10.56
120,2011-08-13,DusseldorfOpen2011,1,1,13.38
121,2011-08-13,DusseldorfOpen2011,1,2,11.94
122,2011-08-13,DusseldorfOpen2011,1,3,11.58
123,2011-08-13,DusseldorfOpen2011,1,4,10.34
124,2011-08-13,DusseldorfOpen2011,1,5,11.46
125,2011-08-13,DusseldorfOpen2011,2,1,8.93
126,2011-08-13,DusseldorfOpen2011,2,2,10.28
127,2011-08-13,DusseldorfOpen2011,2,3,12.0
128,2011-08-13,DusseldorfOpen2011,2,4,9.55
129,2011-08-13,DusseldorfOpen2011,2,5,11.02
130,2011-08-13,DusseldorfOpen2011,f,1,9.5
131,2011-08-13,DusseldorfOpen2011,f,2,10.36
132,2011-08-13,DusseldorfOpen2011,f,3,8.71
133,2011-08-13,DusseldorfOpen2011,f,4,14.58
134,2011-08-13,DusseldorfOpen2011,f,5,15.09
135,2011-10-22,VCubeSpiel2011,1,1,9.38
136,2011-10-22,VCubeSpiel2011,1,2,7.8
137,2011-10-22,VCubeSpiel2011,1,3,16.15
138,2011-10-22,VCubeSpiel2011,1,4,10.72
139,2011-10-22,VCubeSpiel2011,1,5,10.75
140,2011-10-22,VCubeSpiel2011,f,1,13.52
141,2011-10-22,VCubeSpiel2011,f,2,9.41
142,2011-10-22,VCubeSpiel2011,f,3,12.61
143,2011-10-22,VCubeSpiel2011,f,4,12.31
144,2011-10-22,VCubeSpiel2011,f,5,10.4
145,2011-12-10,GermanNationals2011,1,1,11.77
146,2011-12-10,GermanNationals2011,1,2,10.33
147,2011-12-10,GermanNationals2011,1,3,10.66
148,2011-12-10,GermanNationals2011,1,4,10.15
149,2011-12-10,GermanNationals2011,1,5,11.15
150,2011-12-10,GermanNationals2011,2,1,10.27
151,2011-12-10,GermanNationals2011,2,2,10.53
152,2011-12-10,GermanNationals2011,2,3,11.75
153,2011-12-10,GermanNationals2011,2,4,12.16
154,2011-12-10,GermanNationals2011,2,5,11.61
155,2011-12-10,GermanNationals2011,f,1,10.8
156,2011-12-10,GermanNationals2011,f,2,10.61
157,2011-12-10,GermanNationals2011,f,3,8.77
158,2011-12-10,GermanNationals2011,f,4,10.4
159,2011-12-10,GermanNationals2011,f,5,9.11
160,2012-02-04,HessenOpen2012,1,1,17.18
161,2012-02-04,HessenOpen2012,1,2,10.61
162,2012-02-04,HessenOpen2012,1,3,10.88
163,2012-02-04,HessenOpen2012,1,4,10.05
164,2012-02-04,HessenOpen2012,1,5,10.83
165,2012-02-04,HessenOpen2012,2,1,7.94
166,2012-02-04,HessenOpen2012,2,2,9.46
167,2012-02-04,HessenOpen2012,2,3,19.41
168,2012-02-04,HessenOpen2012,2,4,9.72
169,2012-02-04,HessenOpen2012,2,5,12.55
170,2012-02-04,HessenOpen2012,f,1,12.68
171,2012-02-04,HessenOpen2012,f,2,9.34
172,2012-02-04,HessenOpen2012,f,3,10.43
173,2012-02-04,HessenOpen2012,f,4,11.22
174,2012-02-04,HessenOpen2012,f,5,12.56
175,2012-03-03,TwenteOpen2012,1,1,13.27
176,2012-03-03,TwenteOpen2012,1,2,10.46
177,2012-03-03,TwenteOpen2012,1,3,8.53
178,2012-03-03,TwenteOpen2012,1,4,11.84
179,2012-03-03,TwenteOpen2012,1,5,10.31
180,2012-03-03,TwenteOpen2012,2,1,11.44
181,2012-03-03,TwenteOpen2012,2,2,11.4
182,2012-03-03,TwenteOpen2012,2,3,12.6
183,2012-03-03,TwenteOpen2012,2,4,12.33
184,2012-03-03,TwenteOpen2012,2,5,11.66
185,2012-03-03,TwenteOpen2012,f,1,13.68
186,2012-03-03,TwenteOpen2012,f,2,10.58
187,2012-03-03,TwenteOpen2012,f,3,11.83
188,2012-03-03,TwenteOpen2012,f,4,9.3
189,2012-03-03,TwenteOpen2012,f,5,11.47
190,2012-04-14,GermanOpen2012,1,1,13.83
191,2012-04-14,GermanOpen2012,1,2,10.68
192,2012-04-14,GermanOpen2012,1,3,9.47
193,2012-04-14,GermanOpen2012,1,4,12.38
194,2012-04-14,GermanOpen2012,1,5,12.46
195,2012-04-14,GermanOpen2012,2,1,14.59
196,2012-04-14,GermanOpen2012,2,2,14.75
197,2012-04-14,GermanOpen2012,2,3,9.34
198,2012-04-14,GermanOpen2012,2,4,8.9
199,2012-04-14,GermanOpen2012,2,5,12.65
200,2012-04-14,GermanOpen2012,f,1,12.3
201,2012-04-14,GermanOpen2012,f,2,11.21
202,2012-04-14,GermanOpen2012,f,3,12.66
203,2012-04-14,GermanOpen2012,f,4,10.72
204,2012-04-14,GermanOpen2012,f,5,13.5
205,2012-06-23,AachenSummer2012,1,1,8.63
206,2012-06-23,AachenSummer2012,1,2,10.58
207,2012-06-23,AachenSummer2012,1,3,12.75
208,2012-06-23,AachenSummer2012,1,4,9.97
209,2012-06-23,AachenSummer2012,1,5,12.06
210,2012-06-23,AachenSummer2012,2,1,11.88
211,2012-06-23,AachenSummer2012,2,2,12.21
212,2012-06-23,AachenSummer2012,2,3,10.83
213,2012-06-23,AachenSummer2012,2,4,11.65
214,2012-06-23,AachenSummer2012,2,5,8.19
215,2012-06-23,AachenSummer2012,f,1,13.05
216,2012-06-23,AachenSummer2012,f,2,11.25
217,2012-06-23,AachenSummer2012,f,3,11.46
218,2012-06-23,AachenSummer2012,f,4,16.28
219,2012-06-23,AachenSummer2012,f,5,16.28
220,2012-11-03,GermanNationals2012,1,1,11.41
221,2012-11-03,GermanNationals2012,1,2,11.33
222,2012-11-03,GermanNationals2012,1,3,10.84
223,2012-11-03,GermanNationals2012,1,4,10.03
224,2012-11-03,GermanNationals2012,1,5,10.44
225,2012-11-03,GermanNationals2012,2,1,9.11
226,2012-11-03,GermanNationals2012,2,2,12.75
227,2012-11-03,GermanNationals2012,2,3,11.25
228,2012-11-03,GermanNationals2012,2,4,7.53
229,2012-11-03,GermanNationals2012,2,5,11.19
230,2012-11-03,GermanNationals2012,f,1,8.66
231,2012-11-03,GermanNationals2012,f,2,10.94
232,2012-11-03,GermanNationals2012,f,3,9.16
233,2012-11-03,GermanNationals2012,f,4,11.0
234,2012-11-03,GermanNationals2012,f,5,8.44
235,2012-12-08,FrankfurtOpen2012,1,1,9.38
236,2012-12-08,FrankfurtOpen2012,1,2,9.55
237,2012-12-08,FrankfurtOpen2012,1,3,9.96
238,2012-12-08,FrankfurtOpen2012,1,4,9.56
239,2012-12-08,FrankfurtOpen2012,1,5,8.9
240,2012-12-08,FrankfurtOpen2012,2,1,9.25
241,2012-12-08,FrankfurtOpen2012,2,2,10.53
242,2012-12-08,FrankfurtOpen2012,2,3,9.86
243,2012-12-08,FrankfurtOpen2012,2,4,9.86
244,2012-12-08,FrankfurtOpen2012,2,5,10.69
245,2012-12-08,FrankfurtOpen2012,f,1,9.41
246,2012-12-08,FrankfurtOpen2012,f,2,9.55
