Clear errors: 8

2017OWAI01 (Pakistan,_Asia), 333oh single: 15.37, WellspringOpen2017 (2017-12-02 - 2017-12-02), round: c, stored: , computed: NR

2013JOKI01 (Finland,_Europe), 222 single: 1.45, FinnishChampionship2016 (2016-11-25 - 2016-11-27), round: f, stored: , computed: NR

2017CEDE04 (Panama,_North America), pyram single: 5.92, PanamaOpen2017 (2017-09-30 - 2017-09-30), round: f, stored: , computed: NR

2014ANDE01 (Belgium,_Europe), 555 single: 1:07.03, DutchNationals2017 (2017-09-23 - 2017-09-23), round: c, stored: , computed: NR

2013RODR11 (Uruguay,_South America), minx single: 3:06.96, SanLorenzoOpen2015 (2015-01-31 - 2015-02-01), round: c, stored: , computed: NR

2016DIAZ21 (Guatemala,_North America), 666 single: 2:06.17, BigBangOpen2018 (2018-02-10 - 2018-02-11), round: c, stored: , computed: NR

2017ALVA27 (Costa Rica,_North America), 666 single: 2:41.88, BigBangOpen2018 (2018-02-10 - 2018-02-11), round: c, stored: , computed: NR

2015CAMP03 (Argentina,_South America), minx average: 50.75, SantaFeCubingSpring2017 (2017-10-15 - 2017-10-15), round: c, stored: , computed: NR


Possible errors: 2597

2003KNIG01 (USA,_North America), 333 single: 16.71, WC2003 (2003-08-23 - 2003-08-24), round: 1, stored: WR, computed: WR
2003BOND01 (Denmark,_Europe), 333 single: 16.53, WC2003 (2003-08-23 - 2003-08-24), round: 2, stored: WR, computed: WR

2003VAND01 (Belgium,_Europe), 333 single: 18.30, WC2003 (2003-08-23 - 2003-08-24), round: 1, stored: ER, computed: ER
2003BOND01 (Denmark,_Europe), 333 single: 16.53, WC2003 (2003-08-23 - 2003-08-24), round: 2, stored: WR, computed: WR

2003VAND01 (Belgium,_Europe), 333 single: 18.30, WC2003 (2003-08-23 - 2003-08-24), round: 1, stored: ER, computed: ER
2003VAND01 (Belgium,_Europe), 333 single: 17.17, WC2003 (2003-08-23 - 2003-08-24), round: 2, stored: NR, computed: NR

2003BOND01 (Denmark,_Europe), 333 single: 20.25, WC2003 (2003-08-23 - 2003-08-24), round: 1, stored: NR, computed: NR
2003BOND01 (Denmark,_Europe), 333 single: 16.53, WC2003 (2003-08-23 - 2003-08-24), round: 2, stored: WR, computed: WR

2003BRUC01 (Netherlands,_Europe), 333 single: 20.98, WC2003 (2003-08-23 - 2003-08-24), round: 1, stored: NR, computed: NR
2003BRUC01 (Netherlands,_Europe), 333 single: 17.25, WC2003 (2003-08-23 - 2003-08-24), round: 2, stored: NR, computed: NR

2003WESL01 (Sweden,_Europe), 333 single: 21.47, WC2003 (2003-08-23 - 2003-08-24), round: 1, stored: NR, computed: NR
2003WESL01 (Sweden,_Europe), 333 single: 17.37, WC2003 (2003-08-23 - 2003-08-24), round: 2, stored: NR, computed: NR

2003ZBOR02 (Poland,_Europe), 333 single: 23.39, WC2003 (2003-08-23 - 2003-08-24), round: 1, stored: NR, computed: NR
2003ZBOR02 (Poland,_Europe), 333 single: 18.92, WC2003 (2003-08-23 - 2003-08-24), round: 2, stored: NR, computed: NR

2003TEMP01 (France,_Europe), 333 single: 23.90, WC2003 (2003-08-23 - 2003-08-24), round: 1, stored: NR, computed: NR
2003TEMP01 (France,_Europe), 333 single: 22.92, WC2003 (2003-08-23 - 2003-08-24), round: 2, stored: NR, computed: NR

2003GOLJ01 (Czech Republic,_Europe), 333 single: 25.01, WC2003 (2003-08-23 - 2003-08-24), round: 1, stored: NR, computed: NR
2003GOLJ01 (Czech Republic,_Europe), 333 single: 20.19, WC2003 (2003-08-23 - 2003-08-24), round: 2, stored: NR, computed: NR

2003MAKI01 (Japan,_Asia), 333 single: 15.07, CaltechWinter2004 (2004-01-24 - 2004-01-24), round: 1, stored: WR, computed: WR
